customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
723328F2-CD,Female,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),70.4,70.4,No
67591762-CD,Female,1,No,Yes,21,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),49.71,1043.91,Yes
B78AE528-GH,Female,0,No,No,68,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,60.34,4103.12,Yes
A6FC6BB6-AB,Male,1,No,No,6,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),77.49,464.94,No
CF2012E2-CD,Male,1,No,No,51,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),49.73,2536.23,Yes
A4A6E826-EF,Female,0,No,Yes,28,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Mailed check,118.97,3331.16,Yes
A3ED2194-GH,Male,0,No,Yes,62,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Mailed check,28.93,1793.66,Yes
F233BF44-EF,Male,1,Yes,Yes,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.71,1320.66,Yes
967180A3-EF,Male,0,No,Yes,11,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,26.17,287.87,No
D4E51D78-CD,Female,0,No,No,50,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),26.24,1312.0,Yes
0FD79BE5-EF,Female,1,Yes,No,35,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),56.91,1991.85,Yes
E47FF9E4-GH,Female,1,Yes,No,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,109.56,7669.2,No
1D67997A-AB,Male,0,Yes,No,18,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),34.31,617.58,No
EF604639-AB,Female,1,Yes,Yes,39,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Mailed check,37.94,1479.66,No
99B01B4A-GH,Male,1,No,Yes,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,61.35,674.85,No
DE52114E-AB,Male,1,No,No,23,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,82.74,1903.02,Yes
62611169-CD,Male,0,No,No,8,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Electronic check,114.83,918.64,No
D156493C-CD,Male,0,No,No,56,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,49.29,2760.24,Yes
539C1E6E-CD,Male,1,No,Yes,49,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),29.28,1434.72,No
66AEEE0B-AB,Female,1,No,Yes,2,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),51.63,103.26,Yes
CBF94432-EF,Male,0,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,43.11,948.42,Yes
6FC29FE4-EF,Female,1,No,No,24,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,72.91,1749.84,No
D58305C4-GH,Male,0,No,No,48,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,23.22,1114.56,No
79351567-AB,Male,0,No,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),56.68,566.8,No
E057A81C-EF,Male,0,No,Yes,61,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,101.52,6192.72,Yes
5A571736-EF,Male,0,Yes,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),104.6,732.2,Yes
F36E08C9-CD,Female,0,No,Yes,50,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),24.86,1243.0,No
67409773-CD,Female,0,Yes,No,32,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),38.9,1244.8,No
B2CA818D-CD,Male,0,Yes,No,62,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),110.49,6850.38,Yes
552A0805-AB,Female,0,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),109.51,2737.75,No
5AA81945-GH,Male,0,No,No,3,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),116.62,349.86,Yes
4E3A27D1-EF,Female,0,Yes,No,29,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),43.95,1274.55,Yes
B9B64A60-EF,Male,1,Yes,No,32,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),25.95,830.4,No
24484E54-EF,Male,0,Yes,No,70,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,86.76,6073.2,No
AD5B5D03-CD,Female,1,Yes,Yes,1,No,No phone service,DSL,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),104.49,104.49,Yes
CB2D6E5B-CD,Female,1,No,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),118.55,5216.2,No
2A64CD7A-EF,Male,0,No,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),63.96,1790.88,Yes
AE840E53-EF,Female,1,Yes,No,64,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,83.88,5368.32,No
89C0F734-GH,Female,1,No,Yes,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),66.98,66.98,No
88C65D61-GH,Male,0,No,No,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),70.48,1057.2,Yes
36C1FE99-AB,Female,0,No,Yes,41,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,51.23,2100.43,Yes
CBF08350-AB,Female,0,Yes,No,21,No,No phone service,DSL,No,No,Yes,No,No,Yes,One year,No,Electronic check,95.34,2002.14,No
DAE6341F-EF,Female,0,No,Yes,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),82.9,3896.3,Yes
298CB293-CD,Female,0,No,Yes,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,66.06,2113.92,Yes
6A7B621C-CD,Female,1,Yes,Yes,37,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),76.7,2837.9,Yes
EFF07219-AB,Female,0,Yes,No,41,No,No phone service,DSL,No,Yes,No,No,No,No,Two year,No,Mailed check,57.82,2370.62,No
529BA338-EF,Female,0,No,No,15,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Mailed check,21.64,324.6,No
2339F941-EF,Male,1,Yes,Yes,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,103.81,3010.49,No
0242EE2C-CD,Female,0,No,Yes,68,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),68.24,4640.32,Yes
34970805-CD,Male,1,No,No,32,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,78.27,2504.64,No
87A84697-CD,Female,1,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,102.77,3494.18,No
CC61CD76-EF,Female,0,No,Yes,14,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,76.25,1067.5,No
EE75E9FA-AB,Female,0,No,No,18,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,21.07,379.26,Yes
318EF4C8-GH,Male,1,No,Yes,66,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),78.91,5208.06,No
1C3B9CD0-GH,Male,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),113.71,682.26,Yes
0ADE228E-CD,Female,0,No,No,66,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),96.1,6342.6,No
4901BC20-AB,Male,0,No,Yes,8,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,29.58,236.64,No
5414D162-EF,Female,0,No,Yes,45,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),74.17,3337.65,No
CE0135B2-EF,Female,1,No,Yes,57,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),92.2,5255.4,Yes
2BDE12C5-GH,Female,1,No,Yes,68,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),40.6,2760.8,No
4107B4CA-EF,Male,0,Yes,Yes,31,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),81.39,2523.09,Yes
03DFA1C7-CD,Female,0,No,No,13,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),76.16,990.08,No
021CA46B-GH,Female,1,No,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),41.87,2051.63,No
5567F685-EF,Female,0,Yes,No,26,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),25.24,656.24,Yes
2907D358-GH,Male,0,Yes,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),70.78,4034.46,No
04706CAB-EF,Male,1,No,No,31,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,69.99,2169.69,Yes
E86EABB9-CD,Female,0,Yes,Yes,15,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),89.64,1344.6,Yes
EB4F5F6F-AB,Female,0,No,Yes,28,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,57.27,1603.56,Yes
C39CE0CA-GH,Male,1,Yes,Yes,2,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,52.44,104.88,No
06BA2FC5-GH,Female,1,Yes,Yes,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.77,544.25,No
4B7D958F-AB,Female,0,No,Yes,58,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),118.57,6877.06,Yes
A683F6B6-AB,Female,1,Yes,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,36.94,36.94,Yes
C2E693E6-AB,Female,0,No,Yes,48,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),83.69,4017.12,No
F1185538-AB,Female,0,Yes,Yes,14,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,No,Electronic check,107.61,1506.54,No
